entity,code,year,20_24_years_old,10_14_years_old,all_ages,70_years_old,30_34_years_old,15_19_years_old,25_29_years_old,50_69_years_old,age_standardized,15_49_years_old
Afghanistan,AFG,2017,4.38617197334,1.61827049279999,3.05078536451,5.27977235671,5.74990542336,3.43374976847,5.10502769873,6.13118270805,4.13634710028,5.01037151256
Albania,ALB,2017,2.43742427467,0.900395510494,2.60789622233,4.3995581055,2.40141750158999,2.00401357715,2.39839639224,3.66405169418,2.20841419824,2.48774661437
Algeria,DZA,2017,3.85447539978,1.75757779348999,3.69102048601,4.84827020873,4.63053418854,3.40412185036,4.25638565049999,5.40248320915,3.66109449605,4.52280768965
American Samoa,ASM,2017,2.88570800882,1.06362325796,2.78778846857,5.7460222231,2.97175380472,2.43816723976,2.86254410192,5.45137849688,2.93966806124,3.11550065724
Andean Latin America,,2017,2.88411313327999,1.02493233223,2.53832530878,4.66344253586,2.96604699868,2.35495790627,2.93379007871,4.40804648903999,2.61038511713,2.96900414351
Andorra,AND,2017,4.28908161156,1.82338775976,4.37248460677,4.82799375586,4.86224332934,3.50725658097999,4.627740207,4.88261672799,3.72953168612,4.80517730549
Angola,AGO,2017,4.90834624704,1.4955496823,3.02430760439999,7.32061010443,5.05953961663999,3.7535636663,4.94026277967,6.54824797824,4.16048419728,4.91244290674
Antigua and Barbuda,ATG,2017,2.66339426108,1.23907559061,2.84010983178,4.16748061623,2.89968522185,2.47984126862,2.77599056848,4.17924323648,2.55796305238,2.98722232612
Argentina,ARG,2017,5.30368080409,1.931189916,3.82907697364,4.20315684977,4.44212340867,4.49401310783,4.77105848185,4.56859288211,3.66548827189999,4.69559631799
Armenia,ARM,2017,2.84527726781,1.04505172186,3.18613028589999,6.19243921585,2.98072378654,2.32330415554,2.94131817717,4.71676871187999,2.75458269616,2.99691323942
Australasia,,2017,6.66971970728,2.52094830672,4.73631603581,4.02667858131,5.85672998384,5.56053627057,6.17467241116,4.84267326557,4.52468861623,5.96163515458
Australia,AUS,2017,6.7410070414,2.58844789548,4.85863575799,4.11912526559,5.97364164396,5.62767859197,6.26098638696,4.97737922143,4.62388098607,6.10128964422999
Austria,AUT,2017,3.7316735402,1.34434804331,3.85084839885,4.47193524319,4.14913097672,2.81027659748,3.95076657873,4.52897369621,3.2609699942,4.09572716105
Azerbaijan,AZE,2017,2.56054157337,1.00763962331,2.68428180261,5.87069738225999,2.76532779979,2.16237369496,2.6931685458,4.37665898365,2.59229296217,2.78296538123
Bahamas,BHS,2017,2.74933525957,1.27327822373,2.82168124718,4.29135890763,2.92790929026,2.55969440696,2.81767169486,4.25688635043,2.62663305543,3.04532890385999
Bahrain,BHR,2017,4.41075172716,1.71107660277,4.38626659555,5.38254246821,5.13574790833,3.57013356079,4.83055522895,5.67220149056,3.87910515284,5.07324819721
Bangladesh,BGD,2017,4.02313966995,1.24993202611,3.92079740616999,8.38387386768,4.57947560906,3.07335875204,4.21733480811,7.21723194920999,4.11061130998999,4.59950007075
Barbados,BRB,2017,2.96019660302,1.29387173911,3.28308976209,4.55955399646,3.06153885212,2.68391016102,2.97681787779,4.50461660965999,2.76332220362,3.22401973521
Belarus,BLR,2017,3.72888775454999,1.22272712888,5.02929389826,8.6623154789,4.53564124636,2.82465090165,4.20217908491,6.97966144008,4.02222608312,4.47653212568999
Belgium,BEL,2017,4.66707501990999,1.82158840378,4.65847729225,5.10557404101,5.27318026272,3.60504124609,4.91518509028,5.40818450307,4.10918615476,5.25397336915
Belize,BLZ,2017,3.15990330597,1.26604048862,2.67589413316,4.52992747342,3.24343393176,2.74452701207,3.16823671257,4.57022571072,2.83866680821,3.29092315905
Benin,BEN,2017,3.28635826160999,1.19083833684,2.56378900785,7.93020987520999,4.07007054286,2.64971526413999,3.67552823704,6.57356107629,3.62989898914,3.75288796793
Bermuda,BMU,2017,3.07313449176,1.33468006862,3.50809248985,4.85819401882,3.0524171269,2.77023779478,3.01305544329,4.58587427288,2.8262925466,3.299906664
Bhutan,BTN,2017,2.94559743712,1.10904971317,3.16948631536,7.3931446784,3.62207476986999,2.43518881615,3.25675245042999,6.47384287162,3.43933373821999,3.60684097395
Bolivia,BOL,2017,3.16673379183,1.01576404967,2.83257947513999,5.7509622487,3.5521116518,2.40335277879,3.37632006850999,5.50452394724,3.08590479324,3.41273069793
Bosnia and Herzegovina,BIH,2017,2.46169889503,0.945017613567,2.92029500714,4.96819791619999,2.5260806649,2.05762503989,2.50477136986,3.9329082118,2.3196099561,2.58012311009
Botswana,BWA,2017,4.06990330966,1.40471115659,3.65605505072999,7.71450708953,4.37998023097999,3.28476608201,4.14652437958,6.58752097499999,3.96812945655,4.45489427189
Brazil,BRA,2017,3.41746452148,2.11308849698,3.52967279844,5.36257154721,3.63381828041,3.11288506779999,3.52734356339,5.24078580493,3.29736759001,3.71186117537999
Brunei,BRN,2017,3.38260644744,1.43392593025,2.70885441367,3.36387874135,3.17047022641,2.98128874212,3.26912144588999,3.29784151272,2.56198290667,3.19532225035
Bulgaria,BGR,2017,2.54448543255,0.922594546779,3.42200711271,5.81040063226,2.67920115513,2.05531378148,2.61855337347999,4.55756067976,2.54314069114,2.80340546185
Burkina Faso,BFA,2017,3.34556580605,1.18200120492,2.57621713473,8.06792749142,4.2439584225,2.65015617716,3.82651172863,6.72013199442,3.6942535918,3.86195624945
Burundi,BDI,2017,3.46793999292,1.59590340286,2.65525871454,8.16786957925,3.86781047697,3.30980461877,3.63223826915,6.65802961069,3.72122770632,3.85021106032
Cambodia,KHM,2017,2.94845864896,1.11525459534,2.84212268817,6.19960641978,3.12143398001,2.56180156816,2.95438691251,5.95179059376,3.09494529697999,3.25797247183
Cameroon,CMR,2017,3.41648252602,1.2145880982,2.73508631298,8.17875016715,4.16906839695999,2.7371738,3.78400384422,6.78758719763,3.74564654244,3.86963297912
Canada,CAN,2017,5.67310651865,2.0336604347,4.25359604088,3.32419095745,5.271697547,4.90751468182,5.35740731781,4.40872240075999,3.98879207345,5.46096635793
Cape Verde,CPV,2017,3.84558715640999,1.29381803372999,3.91434517369999,8.26657619365,4.55604865608,2.98639901785999,4.20611497944,7.07812658953,4.08245123568,4.37478964063
Caribbean,,2017,3.20076203670999,1.29340562976999,3.24206279782,5.31939079590999,3.40170070788,2.79469806732999,3.26468039973,5.22804580524,3.06505896576,3.50814334622
Central African Republic,CAF,2017,5.02441239921,1.47180999818,3.45509847199,7.37763668989,5.18753762787999,3.79003087355,5.06090218244,6.62317919194,4.2117282286,5.02186624727
Central Asia,,2017,3.23236684208,1.07866890893,2.89246110079,6.52109895092,3.23963918054,2.54753255584,3.24507571398,4.92568989019,2.96912001627,3.26334163846
Central Europe,,2017,2.54151777643,0.870716307771,3.09038351864,5.00743257189,2.59183494519,1.99888794321,2.54664670923,4.24800953769,2.43871286018,2.74842373814
"Central Europe, Eastern Europe, and Central Asia",,2017,3.30112883513,1.00531161325,3.85769283056,6.86561761706,3.70603486099,2.45976117438,3.54048479270999,5.60963927839,3.24367448114,3.64375928744
Central Latin America,,2017,3.01640483315,0.977501747219,2.70305600561,4.61820647988,3.13743963935,2.32930126013,3.08252419308,4.39485009968,2.69777887738999,3.10489378121
Central Sub-Saharan Africa,,2017,4.70945132887,1.47395795032,3.07106496983,7.27480899131,4.83904708361,3.66092243619,4.73381608316,6.37611809718,4.01792465587,4.71825956103
Chad,TCD,2017,3.56902671591,1.35637006035,2.47541212248,8.27079574993,4.3956094612,2.97044006555,3.97465660539,6.87651484295,3.87483743869,4.03789687866
Chile,CHL,2017,5.83427586577,2.1837980527,4.37134127755,4.41060452867,4.94180640019,4.97119083644,5.27168768231,4.95637649002,4.05772314199999,5.23715771119
China,CHN,2017,2.48585841199,0.868518543757,4.15545483488,7.81017397062999,3.06294811365,1.96691963557,2.75787896982,6.92433956590999,3.31130589749999,3.37151832546
Colombia,COL,2017,2.52354584821,0.834541628955,2.28742694369,3.91984077978,2.46067228733,1.97163506874,2.48578041886,3.59118315685999,2.19615411587999,2.50029522297
Comoros,COM,2017,3.04167939555,1.43157444697,2.87614397988,7.33937094516,3.3911483781,2.91833293738999,3.18815134059999,6.02457209573,3.33011431331,3.46395673551
Congo,COG,2017,4.6505114203,1.48041302885,3.42426454601,7.24760612148,4.82797035983,3.62873513401,4.68428645781,6.34083020665,4.00829079152,4.7672803428
