id,text,user,user_followers,favorite_count,retweet_count,location,datetime
1554255636589907968,  el ministro de cultura  alejandro salas  informo que presento su carta de renuncia a somos peru  luego de que el   ,exitosape,776025,264,50,"Lima, Peru",2022-08-01 23:59:55
1554255583125053441,  el abogado de pedro castillo  benji espinoza  revelo que no fue el quien recomendo al jefe estado denunciar al pr   ,exitosape,776025,2,2,"Lima, Peru",2022-08-01 23:59:42
1554255574413582336,  no es defender a castillo   es defender su sencillo      ,EVELARDEN,226,0,0,"Surco, Peru",2022-08-01 23:59:40
1554255319521316864,pedro castillo  fiscalia de la nacion ahora le imputa organizacion criminal por caso mariano gonzalez   el comercio   ,tuitperuano,8643,0,0,"Lima, Peru",2022-08-01 23:58:39
1554255315402498048,pedro castillo  fiscalia de la nacion ahora le imputa organizacion criminal por caso mariano gonzalez   el comercio   ,rppnoticiasperu,422,0,0,"Lima, Peru",2022-08-01 23:58:38
1554255311157964800,pedro castillo  fiscalia de la nacion ahora le imputa organizacion criminal por caso mariano gonzalez   el comercio   ,feedperuano,2046,0,0,"Lima, Perú",2022-08-01 23:58:37
1554255190336802817,salen los payasos  del delincuente castillo  se confirma que el partido morado solo sirve para blindar al chotano y   ,IrvingGaray1,627,0,0,Lima,2022-08-01 23:58:08
1554255180538859520, benjiespinoza segun este erudito de las leyes  las colaboraciones de los amiguis de chota de castillo y familia  n   ,RoAcecas,191,2,1,"Lima, Peru",2022-08-01 23:58:06
1554255144287600640,  cuando alan planteo cooperacion a los 12 apostoles  era lo mismo que hoy dice castillo de boca para   ,csamanam,732,0,0,Perú - Lima,2022-08-01 23:57:57
1554255122666033152,    sigrid bazan los nin os pedro castillo congreso bruno pacheco salas  panorama  vacanciaya  ,PepVenturi,184,0,0,Lima,2022-08-01 23:57:52
1554255008547356674,  otra bancada funcional a castillo  la reforma politica de vizcarra fue un desastre ,granda_joan,144,0,0,"Lima, Peru",2022-08-01 23:57:25
1554254904750923776,  porque no se pliega al plan de mantener a castillo en el poder indefinidamente malaga va a ser naranj   ,FuchitaPe,155,0,0,"Lima, Peru",2022-08-01 23:57:00
1554254886979747842,    castillo palteas ,Ruthy_Lu,138,0,0,Callao,2022-08-01 23:56:56
1554254736009854978,    es verdad lo que dices ya puedes decirle a los sobrinos de castillo que regresen  jajajajjaja,biffi_oscar,51,0,0,Lima - Perú,2022-08-01 23:56:20
1554254687234396166,        podra decir lo q sea pero voto 2 veces para no vacar a castillo junto a flor pablo ,israel_peru,289,2,0,"Lima, Perú",2022-08-01 23:56:08
1554254287395606530,    es una campan a bien orquestada de castillo y que coincidencia de algunos congresistas aludidos p   ,R_JARAFRANCO,261,4,0,"Lima, Peru",2022-08-01 23:54:33
1554254274875559937,  noticias la fiscal deberia pedir al menos impedimento de salida para castillo  digo  no se si la constitucion lo permite  ,danyellafood,145,3,0,"Lima, Peru",2022-08-01 23:54:30
1554254163239903232,    dile a castillo q te asesore,kikevargas2211,11,0,0,"Lima, Peru",2022-08-01 23:54:03
1554254065198137345,   y donde quedo la  autoria mediata    no aplica para castillo ,granda_joan,144,1,0,"Lima, Peru",2022-08-01 23:53:40
1554253499717881857,pedro castillo ya es investigado por organizacion criminal  ,GuikPe,643,0,2,Lima,2022-08-01 23:51:25
1554253400036052992,    aa     esta ganandose su nombramiento de primer ministro   de lo co   ,bellido_zuniga,124,0,0,"Lima, Peru",2022-08-01 23:51:01
1554253023286906884,  ecpe   a beder camacho una buena colgada y canta al toque  las man as de pedro castillo van   ,JuanMel62365921,181,3,1,"Lima, Peru",2022-08-01 23:49:32
1554252968723185664,    si eso es lo mejor que hay  castillo se queda hasta el fin de su mandato  estamos condenados ,Jstelman19,107,0,0,Lima,2022-08-01 23:49:19
1554252965162123266, lasclavesxrpp con   meniz y    fiscalia de la nacion dispuso ampliar la investigacion prelimina   ,RPPNoticias,2538282,3,1,"Lima, Peru",2022-08-01 23:49:18
1554252656121724928,        pero bueno eres seguidor de castillo eso pueden ser dos cosas  o q   ,wile_ee_coyotee,38,0,0,"Lima, Peru",2022-08-01 23:48:04
1554252626048565248,  para defender a la esposa de pedro castillo de imitaciones de carlos alvarez  ,nightowl2311,259,7,0,Lima peru,2022-08-01 23:47:57
1554252582838837250,  estamos en sacar a la oc de pedro castillo  lamentablemente los muertitos tendran que esperar ,Schwyndfst,609,0,0,,2022-08-01 23:47:47
1554252547350831106,  el choro es castillo  los morados quieren nuevas elecciones para volver a tomar el poder como en 2020 ,AndeanOpal,86,0,0,Lima,2022-08-01 23:47:38
1554252367708798981,  este sobon incontrolable  no sabe que por realizar esta defensa indefendible de castillo quedara marcado   ,GonzaloOballe,2,1,2,"Lima, Peru",2022-08-01 23:46:55
1554252133595320326,  sen or  ya sabemos su simpatia por el delincuente castillo  pero malaga esta del lado correcto   sacar   ,espiritucalato,1021,49,0,Lima,2022-08-01 23:45:59
1554252111822585856,sen or  ya sabemos su simpatia por el delincuente castillo  pero malaga esta del lado correcto   sacar a este gobier   ,espiritucalato,1021,13,2,Lima,2022-08-01 23:45:54
1554252025394855936,congresistas complices de las corruptelas de castillo   ,beamendozaan71,99,0,1,Lima,2022-08-01 23:45:34
1554252017257807874,los q votaron x susel paredes pueden realmente sentirse representados por ella  muy baja su labor en el congreso y   ,GianlucaAL27,10583,461,65,"Lima, Peru",2022-08-01 23:45:32
1554251778954248192,creo que muere en su ley  salvo que ordenen su prision preventiva lo eche a castillo  ,rmirandam,6547,0,0,LIMA-PERU,2022-08-01 23:44:35
1554251477803204612,  castillo y su familia deben usar marca adedos  se entiende   no ,mikelllino_v2,2,0,0,"Lima, Peru",2022-08-01 23:43:23
1554251381552386048,  si ves los montos  incluso en el supuesto que castillo les dio  son totalmente acordes con su sueldo ,AbrahamValencia,11020,2,0,"Lima, Peru",2022-08-01 23:43:00
1554251376401809408,alejando salas es el chaleco de castillo pero con sueldo de ministro,RicardoALTLV,413,0,0,Callao PERU,2022-08-01 23:42:59
1554251144901304322,  prision preliminar para beder camacho y viton urgente  antes que se escapen  alli esta una llave para   ,JEdu40,16,0,0,Lima,2022-08-01 23:42:04
1554250982967709697,carlos alvarez acude a prefectura para pedir garantias para su vida tras recibir amenazas  ,perucomweb,616,0,0,"Lima, Peru",2022-08-01 23:41:25
1554250731288498177,       eso quiso hacer el fujimorismo en el periodo 2016 pero los caviares pegaron   ,JosePGarcia27,109,12,0,"Lima, Peru",2022-08-01 23:40:25
1554250620059648001,  billie desde que inicio el gobierno  he sido critica de castillo  saludos billie ,NaresckaCulqui,17215,2,0,"Lima, Peru",2022-08-01 23:39:59
1554250607275417615,   como se complica la situacion del presidente castillo y el papel de la oposicion en el congreso  una entrevista   ,somosnativa,21868,13,8,"San isidro, Peru",2022-08-01 23:39:56
1554250583825162242,  seguro castillo lo entrevisto  es todos deben tener el mismo cv que el    ,BenitesPuse,68,0,0,"Salamanca, Peru",2022-08-01 23:39:50
1554250488723525633,    si apoyas a castillo que honor se puede tener   ,Alexan3084G,83,0,0,Lima,2022-08-01 23:39:27
1554250346372874240,no  no quiero q siga siendo presidente  pero quiero   quesevayantodos y no solo castillo  para mi no seria ok  q mo   ,SilviaRI2507,792,10,5,"Lima, Surco, Perú",2022-08-01 23:38:53
1554250244744851457,  no  no quiero q siga siendo presidente  pero quiero   quesevayantodos y no solo castillo  para mi no seri   ,SilviaRI2507,792,2,0,"Lima, Surco, Perú",2022-08-01 23:38:29
1554249880398401536,uno se da una vuelta por marketplace  y abundan ofrecimientos de  brevetes   placas  tarjetas de propiedad  ahora p   ,OscarRa11201324,110,1,1,"Lima, Peru",2022-08-01 23:37:02
1554249625065984003,fiscal de la nacion amplia investigacion a pedro castillo e incorpora a dos funcionarios de palacio de gobierno  ,Gestionpe,1540051,76,18,Lima,2022-08-01 23:36:01
1554249583097778177,carlos alvarez es amenazado de muerte por imitaciones a pedro castillo y su esposa  ,diarioojo,442378,14,7,"Lima, Peru",2022-08-01 23:35:51
