id,text,user,user_followers,favorite_count,retweet_count,location,datetime
1574542955993616412,en el marco del ods 13  adoptar medidas urgentes para combatir el cambio climatico y sus efectos en america latina   ,cidapperu,551,0,0,Lima - Perú,2022-09-26 23:34:28
1574521452518334473, participa del ciclo de conferencias internacionales   avances en investigacion agricola para el desarrollo de cult   ,ProcienciaPeru,18561,1,1,"Lima, Perú",2022-09-26 22:09:02
1574515218000011279, senamhi presento  analisis de escenarios de cambio climatico en el pais  a funcionarios as y servidores publicos d   ,Senamhiperu,171211,4,0,"Lima, Perú",2022-09-26 21:44:15
1574494009329946624,el 3  del 0 04  es el 0 001   ese es el porcentaje del dioxido de carbono producido por la humanidad  para  reducir   ,reyreysincorona,120336,33,18,"Lima, Perú",2022-09-26 20:19:59
1574468892944371712,  sabes que es el cambio climatico      te los describimos en el siguiente post      medioambiente  cambioclimatico  ,CsiAmbiental,6,0,0,"Lima, Peru",2022-09-26 18:40:10
1574463903446306849,  no eres tu  es el cambio climatico  jajaja ,adri_rojas,331,0,0,"Lima, Perú.",2022-09-26 18:20:21
1574452930828279809,  participa en la consulta ciudadana y conoce mas de la estrategia nacional ante el cambio climatico  encc  aqui    ,MinamPeru,426202,14,7,"Lima, Perú",2022-09-26 17:36:45
1574444448851066880,una nueva mision de la esa mapeara en 3d la  manta de enfriamiento  de la tierra de nubes oceanicas bajas que puede   ,Publimetrope,238361,0,0,Lima,2022-09-26 17:03:03
1574425646079660033,  este jueves 29 de septiembre a las 6 00 p m  continuamos con los jueves ambientales  a cargo del consejo directiv   ,Cbiologosperu,2685,5,5,"Lima, Perú",2022-09-26 15:48:20
1574362239368568833,    la lucha contra el cambio climatico   y la situacion ni siquiera mejoraria particularmente rapido si la guerra   ,graffol,219,1,0,Lima  Peru,2022-09-26 11:36:22
1574274426106834944,para dimensionar el espacio que ocupa el  cambio climatico  en el debate local   ,denegrj,6144,8,1,"Lima, Peru",2022-09-26 05:47:26
1574272160893308928, elecciones municipales   lima  de la revision de los planes  estos incluyeron la frase  cambio climatico  o  clima   ,RecurseoS,38,2,1,"Lima, Peru",2022-09-26 05:38:26
1574255851891728384,cambio climatico  que son las olas de calor marinas  una consecuencia cada vez mas frecuente  ,infobaeperu,5415,0,0,"Lima, Perú",2022-09-26 04:33:38
1574222172456992770,aun el cambio climatico no es una preocupacion en el debate politico  sea nacional o local  lima va a sufrir los im   ,denegrj,6144,20,7,"Lima, Peru",2022-09-26 02:19:48
1574204105613930496,  el cambio climatico existe  y lo vamos a pagar todos  tomara unos an os pero nos va afectar  consideren   ,GustavoCaillaux,736,1,0,Lima Peru,2022-09-26 01:08:00
1574182049287589888,  avispado     si sabes que la gente de derecha es la que mas niega el cambio climatico   ,FarosConF,1222,0,0,"Lima, Peru",2022-09-25 23:40:22
1574045880868552704,  segun un nuevo estudio  el cambio climatico reducira el numero de lagos azules  que tienden a ser mas profundos    ,RPPNoticias,2596297,2,1,"Lima, Peru",2022-09-25 14:39:17
1573875304413757440,el fundador de patagonia dona la empresa de ropa de aventura valorada en us 3 000 millones para luchar contra el ca   ,JaviDePeru,4561,1,0,"Lima, Perú",2022-09-25 03:21:28
